web_scraper_order,web_scraper_start_url,data
"1774426831-359","https://musicbrainz.org/genres","chicago blues"
"1774426831-360","https://musicbrainz.org/genres","chicago bop"
"1774426831-361","https://musicbrainz.org/genres","chicago drill"
"1774426831-362","https://musicbrainz.org/genres","chicago house"
"1774426831-363","https://musicbrainz.org/genres","chicago polka"
"1774426831-364","https://musicbrainz.org/genres","chicago soul"
"1774426831-365","https://musicbrainz.org/genres","chicano rap"
"1774426831-366","https://musicbrainz.org/genres","chicha"
"1774426831-367","https://musicbrainz.org/genres","children's music"
"1774426831-368","https://musicbrainz.org/genres","chilena"
"1774426831-369","https://musicbrainz.org/genres","chillout"
"1774426831-370","https://musicbrainz.org/genres","chillstep"
"1774426831-371","https://musicbrainz.org/genres","chillsynth"
"1774426831-372","https://musicbrainz.org/genres","chillwave"
"1774426831-373","https://musicbrainz.org/genres","chimayche"
"1774426831-374","https://musicbrainz.org/genres","chimurenga"
"1774426831-375","https://musicbrainz.org/genres","chinese classical"
"1774426831-376","https://musicbrainz.org/genres","chinese literati music"
"1774426831-377","https://musicbrainz.org/genres","chinese opera"
"1774426831-378","https://musicbrainz.org/genres","chinese revolutionary opera"
"1774426831-379","https://musicbrainz.org/genres","chipmunk soul"
"1774426831-380","https://musicbrainz.org/genres","chiptune"
"1774426831-381","https://musicbrainz.org/genres","chöd"
"1774426831-382","https://musicbrainz.org/genres","chopped and screwed"
"1774426831-383","https://musicbrainz.org/genres","chopper"
"1774426831-384","https://musicbrainz.org/genres","choral symphony"
"1774426831-385","https://musicbrainz.org/genres","choro"
"1774426831-386","https://musicbrainz.org/genres","chotis madrileño"
"1774426831-387","https://musicbrainz.org/genres","christian hardcore"
"1774426831-388","https://musicbrainz.org/genres","christian hip hop"
"1774426831-389","https://musicbrainz.org/genres","christian metal"
"1774426831-390","https://musicbrainz.org/genres","christian rock"
"1774426831-391","https://musicbrainz.org/genres","christmas music"
"1774426831-392","https://musicbrainz.org/genres","church music"
"1774426831-393","https://musicbrainz.org/genres","chutney"
"1774426831-394","https://musicbrainz.org/genres","chutney soca"
"1774426831-395","https://musicbrainz.org/genres","cilokaq"
